;liste_acteurs;nb_comedie;nb_drame
13780;François Montagut;0;2
13781;Balthazar Getty;0;1
13782;Mathéo Capelli;0;1
13783;Élina Labourdette;1;2
13784;Valentin Popov;0;1
13785;Cyrus Hernstadt;0;1
13786;Annamaria Fittipaldi;0;3
13787;Danny Ribol;1;0
13788;Raymond J. Barry;1;4
13789;Augustin Solis;1;0
13790;Milton Gontijo;1;0
13791;Charlotte Munck;1;0
13792;John C. McGinley;2;4
13793;Naziha Alansi;0;1
13794;Gianni Ciardo;7;0
13795;Viveka Seldahl;1;0
13796;Stephany Sexton;1;0
13797;Himani Shivpuri;1;0
13798;Francesco De Vito;1;0
13799;Margo Martindale;6;4
13800;Jacqueline White;0;1
13801;Adonella;1;0
13802;Chris Thomas King;1;0
13803;Marcelle Corday;0;1
13804;Yiftach Klein;0;1
13805;Kate Levering;0;1
13806;Piret Kalda;0;1
13807;Alessandra Panaro;8;1
13808;Reisaburo Yamamoto;1;0
13809;Maurizio Marchetti;3;2
13810;Alessandro Tersigni;1;1
13811;Lilian Sassanelli;0;2
13812;Mária Simon;1;0
13813;Anton Mossine;0;1
13814;Jeni Jones;1;0
13815;Jerry Messing;1;0
13816;Dana Eskelson;1;2
13817;George Maharis;1;1
13818;Rick Rossovich;1;0
13819;Daniele Formica;7;1
13820;Giancarlo Maio;0;1
13821;Florian Brückner;0;1
13822;Aron Tager;1;0
13823;Jean-Mathias Pondant;0;1
13824;Lindy Booth;1;0
13825;Jan Kacer;0;1
13826;Alan Tudyk;6;0
13827;David Byrne;0;1
13828;Mary Long;1;0
13829;Toto S.T. Radi;0;2
13830;Mino Guerrini;1;0
13831;Nicholas Hope;0;1
13832;Tina Kellegher;1;0
13833;Paulo Padilha;0;1
13834;Paolo Maria Veronica;2;0
13835;Paul Lucenti;0;1
13836;Craig Butta;1;1
13837;William Berger;1;3
13838;Gabriele Pini;0;1
13839;Sandy Gore;1;0
13840;Adelmo Togliani;0;1
13841;Hamdy Gheith;0;1
13842;Johnathan Tchaikovsky;0;1
13843;Sam Hernandez;0;1
13844;Fernando García Toriello;0;1
13845;Giorgia Wurth;7;3
13846;Claudio Spadaro;2;1
13847;Keith Joe Dick;1;0
13848;Barbara Wallace;1;0
13849;Mac Mashourian;0;2
13850;David Hutchison;1;0
13851;Eduardo Velasco;1;0
13852;Mina;5;0
13853;Hsieh Ying-xuan;0;1
13854;Mirko Rizzotto;2;0
13855;Anya Potebnya;1;0
13856;Ione Skye;1;1
13857;Sandra Ceccarelli;2;12
13858;Joshua Horowitz;1;0
13859;Giselda Volodi;7;2
13860;John Epperson;1;0
13861;Eddy Mitchell;1;0
13862;Corrado Racca;1;0
13863;Ole Ernst;0;5
13864;Ivan Lebedeff;1;0
13865;Mao;1;0
13866;Antonio Zavatteri;0;4
13867;Whitman Mayo;1;0
13868;Daan Schuurmans;0;2
13869;Machiko Ono;0;1
13870;Andonia Katsaros;0;1
13871;Federica Pocaterra;1;1
13872;Robert Moloney;1;0
13873;Luk Pfaff;0;1
13874;Dara Coleman;1;0
13875;Andrea De Rosa;4;0
13876;Tabitha Wady;0;1
13877;Djoko Rosic;1;0
13878;Jacques Sandulescu;1;0
13879;Christie Laing;1;0
13880;Saul Nanni;1;3
13881;Bernard Fresson;2;2
13882;Bernard White;0;2
13883;Nicole Tubiola;1;0
13884;Viva;1;0
13885;Antonio Salines;0;4
13886;Jared Martin;1;0
13887;Jason Orley;1;0
13888;James Sikking;0;2
13889;Francesca Fiume;1;0
13890;Natalie Imbruglia;1;0
13891;Madison Davis;1;0
13892;Dominique Boschero;5;3
13893;Nilay Cennetkusu;1;0
13894;Patrick Mille;3;1
13895;Thomas F. Wilson;2;0
13896;Richard Lawson;1;0
13897;James Felner;0;2
13898;Massimo Serato;6;8
13899;Joaquin Climent;0;1
13900;John Tuell;0;1
13901;Julia Foster;0;1
13902;Ivan Asic;0;1
13903;Sasha Pieterse;1;0
13904;Maria Denis;3;3
13905;Gilles Gaston-Dreyfus;0;1
13906;Iggy Pop;2;1
13907;Jerry Haleva;1;0
13908;Élodie Navarre;1;0
13909;Michael Jeter;1;1
13910;Eygló Hilmarsdóttir;0;1
13911;Laurent Gerra;0;2
13912;Jess Margera;1;0
13913;Ovidie;1;0
13914;François Périer;3;2
13915;Luz Palazón;0;1
13916;Dominic Purcell;0;1
13917;Radoslav Brzobohaty;1;0
13918;Moichi Tanabe;1;0
13919;Charmin Lee White;0;2
13920;Linda Mresy;0;1
13921;Massimo Popolizio;8;8
13922;André Hennicke;0;7
13923;Mika Boorem;2;0
13924;Wojciech Sanejko;0;1
13925;Rachel Hurd-Wood;1;1
13926;Kwak Ji-min;0;1
13927;Tomine Mikkeline Eide;0;1
13928;Mady Christians;0;1
13929;Linda Celani;1;0
13930;Zhuangzhuang Tian;1;0
13931;Axel Monjé;1;0
13932;Brody Rose;0;1
13933;J.P. Manoux;1;0
13934;Marina Pennafina;0;1
13935;Jördis Triebel;0;1
13936;Alessia Merz;3;0
13937;Stefan Dezil;1;0
13938;Don Lurio;2;0
13939;Frank Lammers;1;0
13940;Elisabeth Flickenschildt;0;1
13941;Velibor Topic;1;0
13942;Roberto Cardone;0;2
13943;Silje Salomonsen;0;1
13944;Rie Rasmussen;1;0
13945;Solveyg D'Assunta;1;1
13946;Minna Gombell;0;2
13947;Dick Gregory;0;1
13948;Maurice Chevalier;7;0
13949;Paul Kelly;0;1
13950;Mavis Villiers;0;2
13951;Tania Weber;2;0
13952;Patrick Cassidy;0;1
13953;David Jensen;2;2
13954;Masaharu Fukuyama;0;2
13955;Laurent Papot;0;2
13956;Farid Bouzenad;1;0
13957;Lotta Tejle;1;0
13958;Robert Maffia;0;1
13959;Shameik Moore;0;4
13960;Charles Coburn;9;0
13961;Michael David Yuhl;0;1
13962;Livia Cerini;1;0
13963;Zack Pearlman;1;0
13964;Ahuva Keren;1;0
13965;Niccolò Senni;6;2
13966;Stephen Campbell Moore;0;1
13967;Judi West;1;0
13968;Dan Schultz;0;4
13969;Camilla Belle;3;0
13970;Joon-ho Bong;1;0
13971;Christopher Leveaux;1;0
13972;Darío Valenzuela;0;1
13973;Ginés García Millán;1;0
13974;Grethe Eltervåg;0;1
13975;Laurent Delbecque;1;1
13976;Kai Zen;1;0
13977;Andy Bell;1;0
13978;Sam Waterston;1;3
13979;Patrick Brice;1;0
13980;Sal Mineo;0;2
13981;Victor Ortiz;0;1
13982;Karin Proia;3;0
13983;Bo Diddley;1;0
13984;Petra Berndt;0;1
13985;Ronald Guttman;1;0
13986;Jens Jørn Spottag;0;1
13987;Reginald Beckwith;1;0
13988;Diane Leach;1;0
13989;Anaïs Demoustier;4;6
13990;Russell Simpson;0;1
13991;JoBeth Williams;4;5
13992;Andrea Leeds;0;1
13993;Viveca Lindfors;0;2
13994;Guido Lollobrigida;0;1
13995;Sreelekha Mitra;0;1
13996;Anne Winters;1;0
13997;Wilford Brimley;1;2
13998;Beth Dixon;1;0
13999;Andy Garcia;6;11
14000;Angela Goethals;2;0
14001;Derrick Janis;0;2
14002;David Jonsson;0;1
14003;Patrick Johnson;1;0
14004;Henrik Lykkegaard;0;1
14005;Giovanna Carola;1;0
14006;Yoann Zimmer;0;1
14007;Na-kel Smith;1;0
14008;Tatijana Konjiuchova;0;1
14009;Talulah Riley;2;0
14010;Romain Lancry;1;0
14011;Sander van Sweevelt;0;2
14012;Patrick Romer;0;1
14013;Giuseppe Antignati;0;1
14014;Hanane Hajj Ali;0;1
14015;Scott Adsit;1;1
14016;Chris McDonald;1;0
14017;Forrest Robinson;0;3
14018;Jacklyn Rose;0;1
14019;Katie Hardie;0;1
14020;Claudio De Davide;0;1
14021;Yiannis Niarros;0;1
14022;Robert Kramer;0;2
14023;Ione Irazábal;0;1
14024;Monia Chokri;1;2
14025;Aroldo Tieri;23;1
14026;Josh Hutcherson;3;4
14027;Yorgo Voyagis;2;1
14028;Jennifer Schwalbach Smith;1;0
14029;Branislav Trifunovic;1;0
14030;Susan Sarandon;18;17
14031;Topsy Jane;0;1
14032;Georgina Castro;0;1
14033;Jennifer Overton;0;1
14034;Amy Sedaris;2;0
14035;Paolo Rossi;7;5
14036;Jamie Noel;1;0
14037;Rasmee Wayrana;0;1
14038;Marianne Afchain;0;1
14039;Derrel Maury;0;3
14040;Justin Theroux;3;0
14041;Max Pisu;3;0
14042;Luciano Bartoli;1;3
14043;Shamaine Buencamino;0;1
14044;Non;0;1
14045;Oliver Petszokat;1;0
14046;Jules Berry;1;1
14047;Marc Connelly;1;0
14048;Molly Stanton;1;0
14049;Christo Jivkov;0;1
14050;Francis L. Sullivan;0;4
14051;Paolo Triestino;5;0
14052;Laura Morante;12;14
14053;J. Karen Thomas;0;1
14054;Amaia Salamanca;1;1
14055;Daniele Trombetti;2;0
14056;Arno Paulsen;0;1
14057;Seong-kun Mun;1;0
14058;Murray Head;1;0
14059;Marissa Jaret Winokur;1;0
14060;Sara Brajovic;1;0
14061;Leonardo Bugiantella;1;0
14062;Joshua Miller;1;0
14063;Fabio Marchisio;1;0
14064;Manlio Blois;1;0
14065;Piero Vida;3;1
14066;Delta Burke;0;1
14067;Ago Anderson;0;1
14068;Stink Fisher;0;1
14069;Plinio Fernando;5;0
14070;Elvy Lissiak;2;0
14071;Théo Fernandez;1;0
14072;Catalina Saavedra;0;1
14073;Courteney Cox;5;0
14074;Gretchen Egolf;0;1
14075;Herman Osorio;0;2
14076;Chiara Toschi;1;0
14077;Julian Rhind-Tutt;1;1
14078;Aldo Fiorelli;1;0
14079;Cosimo Cinieri;4;2
14080;Stephen Lunsford;1;0
14081;Ivan Nalbantov;0;1
14082;Mark Brandon;1;0
14083;Ági Szirtes;0;1
14084;Keita Ninomiya;0;1
14085;Jean-Marc Bory;2;2
14086;Kenny Bowers;1;0
14087;Erminia Martinez;0;1
14088;Curtiss Frisle;1;0
14089;Jules Sitruk;1;2
14090;Fulvio Cecere;0;2
14091;Dov Gottesfeld;0;1
14092;Luke Holland;0;1
14093;Lando Fiorini;1;0
14094;Stephanie McFadden;0;1
14095;Lucinda Dickey;1;0
14096;Josephine Bernard;0;1
14097;Gladys Hulette;0;3
14098;Melinda Page Hamilton;0;1
14099;Pamela Adlon;2;0
14100;Jordi Dauder;0;1
14101;Jeannie Berlin;2;1
14102;Louis Armstrong;1;1
14103;Gia Agumava;0;1
14104;Thomas Chalmers;0;1
14105;Anja Kling;1;0
14106;Emma Rayne Lyle;1;0
14107;Nico;0;2
14108;Luis Dalmasy Jr.;1;0
14109;Lene Maria Christensen;0;1
14110;Maxwell Caulfielt;1;0
14111;Lynda Baron;2;0
14112;Sheryl Lee;0;3
14113;Francesca Schiavio;1;0
14114;Nick Mancuso;0;1
14115;Gary Maitland;1;0
14116;Marcella Plunkett;1;0
14117;Kristen Dalton;1;0
14118;Andy Tennant;1;0
14119;Nota Tserniafski;0;1
14120;Lukas Haas;5;1
14121;Catherine Miller;0;1
14122;Jamel Chambers;1;0
14123;Erika Pluhar;0;3
14124;Johanne-Marie Tremblay;0;1
14125;Wes Bentley;0;4
14126;Yasmine Al Masri;1;0
14127;Harrison Gilbertson;0;1
14128;Walter Valdi;1;0
14129;Paul Mescal;0;1
14130;John Kellogg;0;2
14131;Niels Skousen;0;1
14132;Ele Bardha;0;3
14133;Steno;1;0
14134;Kevin Sorbo;1;2
14135;John Carroll;0;1
14136;Paolo Gasparini;1;0
14137;Jonathan M. Woodward;0;1
14138;Lucas Tavernier;0;1
14139;Donna Mills;1;3
14140;Rosamund Kwan;1;0
14141;Bogdan Diklic;1;0
14142;Eduardo Verástegui;1;1
14143;Ray Baker;2;1
14144;Eva De Dominici;0;1
14145;Jean-Paul Rouve;1;0
14146;Beverly Bonner;2;0
14147;Xander Berkeley;1;3
14148;Nicoletta Machiavelli;1;2
14149;Giovanni Visentin;0;3
14150;Andrey Noskov;1;0
14151;Lixin Yang;0;2
14152;Daijirô Natsukawa;0;1
14153;Michael Massee;0;1
14154;Michael Wittenborn;0;1
14155;Giulio Maculani;1;0
14156;Yoshi Nurijumi;0;1
14157;Daniel von Bargen;1;0
14158;Yvonne Bastien;1;0
14159;Josh Salatin;1;0
14160;Ernest Torrence;1;3
14161;Marco Ilsø;1;1
14162;Joshua Riley;0;1
14163;April Rose;1;0
14164;Brian Petsos;2;0
14165;Ait Ansari;0;1
14166;Jesús Ochoa;1;0
14167;Philip Perlman;1;0
14168;Ole Bader;0;2
14169;Luca Orlandini;0;1
14170;Anthony Cistaro;0;2
14171;Polly Adams;0;1
14172;James Earl Jones;7;7
14173;Charles Duckworth;1;0
14174;Damien Ferdel;1;0
14175;Cathy Smith;0;1
14176;Anna Deavere Smith;0;2
14177;Anne Hathaway;7;4
14178;Barbara Carrol;2;0
14179;Valentin Zubkov;0;1
14180;Gloria Grahame;0;2
14181;Celia Weston;1;0
14182;Delissa Reynolds;0;1
14183;Bonny Mappilamattel;1;0
14184;Dalla Doucouré;1;0
14185;Brendan Cade;0;1
14186;Bruce Davison;4;7
14187;Su-ro Kim;2;0
14188;Mateusz Kosciukiewicz;0;2
14189;Ron Pritchard;0;1
14190;Euridice Axén;4;0
14191;Francesco Chinnici;0;1
14192;Horst Krause;1;0
14193;Felicity Jones;1;6
14194;Pirjo Lonka;1;0
14195;Mary Mouser;1;1
14196;Patra Au Ga Man;0;1
14197;Besse Armstrong;1;0
14198;Onnik Minassian;0;2
14199;Henri Jacques Huet;0;1
14200;Alanna Blair;0;2
14201;James Rolleston;0;2
14202;Paola Quattrini;4;4
14203;Erich Kleiber;0;1
14204;Valeria Ciangottini;2;2
14205;Tadeusz Janczar;0;1
14206;Thora Birch;4;1
14207;Marian Meder;1;0
14208;Willie Best;2;0
14209;Anke Sevenich;0;8
14210;Peter Hesse Overgaard;0;1
14211;John Russell;1;0
14212;Paul Duc;0;1
14213;Tania Chandler;0;1
14214;Brent Briscoe;1;2
14215;Nancy Kovack;1;0
14216;Tyrone Power;2;5
14217;Jimmy Chunga;1;0
14218;Emanuela Cau;0;2
14219;Taxiarhis Hanos;1;0
14220;Hillary Tuck;1;0
14221;Viv Leacock;1;1
14222;Patricia Vichmann;0;2
14223;Kamal El Amri;0;1
14224;Marvin Kaplan;1;0
14225;Edie Falco;1;2
14226;Sonja Richter;0;3
14227;Emma Gramatica;1;3
14228;Laurene Landon;1;0
14229;Yannis Totsikas;0;1
14230;Brian Pettifer;1;0
14231;Enzo Petriglia;0;1
14232;Joan Shawlee;1;0
14233;Huberta Shaw;1;0
14234;Christine Lakin;2;0
14235;Andréa Elia;0;1
14236;George Clooney;9;1
14237;Roma Burlaka;0;2
14238;Thabo Malema;0;2
14239;Piotr Polak;0;1
14240;Luca Filippi;1;1
14241;Natasha Parry;0;2
14242;Marge Champion;1;0
14243;Tony Musante;0;8
14244;Misty Upham;0;1
14245;Jeremy Hardy;1;0
14246;Otoniel Serra;1;0
14247;Aleksander Bardini;0;2
14248;Tomorowo Taguchi;1;8
14249;Lindsay Pulsipher;1;0
14250;Julia Camps;0;1
14251;Jolanta Umecka;0;2
14252;Roland Kickinger;1;0
14253;Chelan Simmons;2;0
14254;Martin Wuttke;0;2
14255;Anna Cobb;0;1
14256;Del Herbert-Jane;0;2
14257;Austin O'Brien;1;0
14258;Nita Naldi;0;1
14259;Günther Lüders;0;2
14260;Brandon Tyler;1;0
14261;Lineu Dias;0;1
14262;Maria Latella;1;0
14263;Frederic Forrest;1;4
14264;Rachele Petavrachi;0;1
14265;Lucas Belvaux;1;2
14266;Carlos Echevarría;0;1
14267;Lucrezia Piaggio;2;0
14268;Dee Wallace;2;0
14269;Steven Weber;4;1
14270;David Patrick Kelly;1;0
14271;Sven-Bertil Taube;0;1
14272;Richard Widmark;1;10
14273;Adriana Marega;0;1
14274;Adrienne Bailon;3;0
14275;Janet-Laine Green;1;0
14276;Tobias Mehler;0;1
14277;Horst Krebs;0;1
14278;Ezequias Marques;1;0
14279;Tijmen Govaerts;0;1
14280;Brenda McDonald;1;0
14281;Luca Basile;0;1
14282;Luke Camilleri;0;1
14283;Adrien Lombardo;0;1
14284;Franca Marzi;7;6
14285;Francesca Calabrese;1;0
14286;Katarzyna Zawadzka;0;1
14287;Randall Park;5;0
14288;Blake Bashoff;1;0
14289;Lynne Langdon;0;3
14290;Nanoko;0;1
14291;J. Carrol Naish;0;2
14292;Judy Greer;12;0
14293;Kristen Bell;7;2
14294;Bono;1;0
14295;Jack Davenport;2;1
14296;Rita Calderoni;1;0
14297;Eli Jean Tahchi;0;1
14298;Robert Goodman;0;1
14299;Rosario Petix;1;0
14300;Lana Cooper;0;2
14301;Marion Ploquin;0;1
14302;Ge You;2;0
14303;Luciana Turina;5;0
14304;Tim Roth;8;21
14305;Cooper Jack Rubin;0;1
14306;Mary Walsh;0;1
14307;Pat Heywood;0;1
14308;Micky Daniels;1;0
14309;Kippei Shiina;0;2
14310;Tom Fisher;0;2
14311;Michael J. Reynolds;1;1
14312;Shashi Balooja;1;0
14313;Betty Walker;0;1
14314;Wolfgang Cerny;0;2
14315;Jill Eikenberry;2;3
14316;Eriko Hatsune;0;1
14317;Gabriele Corsi;1;0
14318;Jef Derderian;0;1
14319;Leonardo Esposito;1;0
14320;Edmond Budina;1;1
14321;Stefano Fregni;2;1
14322;Antonella Lualdi;14;6
14323;Ammar Tafti;1;0
14324;Joanna Bacalso;2;0
14325;Jean-Pierre Zola;2;0
14326;Daniel Tur;0;1
14327;Mikhail Vasserbaum;0;1
14328;Nikolai Konovalov;1;0
14329;Tatsuya Fujiwara;0;1
14330;Bella Murphy;1;0
14331;Paolo Bernardini;1;0
14332;Pat Stanley;1;0
14333;Bria Vinaite;1;1
14334;Giancarlo Martini;0;2
14335;Johnny Vekris;0;1
14336;Patricia Allison;1;0
14337;Catarina Wallenstein;1;1
14338;Giovanni Martorana;1;0
14339;Simon Oakland;1;0
14340;Henriette Richter-Röhl;0;1
14341;Natasha Goss;1;0
14342;Richard Briers;1;0
14343;Amanda Crew;2;2
14344;David Chausse;0;1
14345;Zach Grenier;0;1
14346;Mayra Batalla;0;1
14347;Maria Vos;1;0
14348;Alen Delain;0;1
14349;Marcel Dalio;5;1
14350;Jane Levy;0;5
14351;Ryan Pinkston;1;0
14352;Agata Flori;1;0
14353;Elizabeth Hartman;2;2
14354;Arie van Dok;0;1
14355;Adam Arkin;1;0
14356;Veruschka;0;1
14357;Qodratollah Qadiri;0;2
14358;Kiersey Clemons;1;2
14359;Cesar De Sutter;0;2
14360;Maria Bonnevie;0;1
14361;Luke Edwards;0;1
14362;Anatoli Ustyzhaninov;0;1
14363;Virginia Anderson;0;1
14364;Matthew Thomas Brown;0;1
14365;Aiace Tugnoli;0;1
14366;Sergio Abbagnato;0;2
14367;Isabelle Fuhrman;0;1
14368;Claudia Gaffuri;0;1
14369;Catherine Lachens;1;0
14370;Matt Day;1;2
14371;Moe Dunford;0;2
14372;Zoe Caldwell;0;1
14373;Tristán Ulloa;0;3
14374;Ruhi Sari;0;2
14375;Addison Timlin;1;1
14376;Cooper Roth;1;0
14377;Fish Myrr;1;0
14378;Adam Mediano;0;2
14379;Chili Bouchier;1;0
14380;Veronica Lazar;0;2
14381;Kayla Perkins;0;1
14382;Cotter Smith;0;4
14383;Patricia Barzyk;1;0
14384;Summer Bishil;1;0
14385;Alberta Watson;2;6
14386;Simone Bongiovanni;1;0
14387;Kelly Vitz;1;0
14388;Maria Grazia Spina;2;0
14389;Danny Flaherty;1;1
14390;Francisca Ferrándiz;0;1
14391;Ilian Bergala;1;2
14392;Spark Chen;0;1
14393;Sam Worthington;1;2
14394;Victoire Du Bois;0;1
14395;Wanda Rothgardt;0;2
14396;Ernst Pittschau;0;1
14397;Luke Arnold;0;1
14398;Albert Dupontel;2;3
14399;Michael Ajao;0;1
14400;Sherry Miller;2;0
14401;Max Deacon;0;2
14402;Arletty;2;1
14403;Alina Nasibullina;0;1
14404;Diletta Leotta;1;0
14405;Tristam Thomas;1;0
14406;Ettore Ribotta;1;0
14407;Dominic Fumusa;1;0
14408;Aldo Valletti;1;0
14409;Teodora Duhovnikova;0;1
14410;Michael Bryant;1;0
14411;Federica Sammarco;1;0
14412;Carlo Mazzarella;3;0
14413;Masahiko Shimazu;0;1
14414;Leslie Bibb;5;0
14415;Emanuela Postacchini;0;1
14416;Elisha Cuthbert;0;1
14417;Paul Whitehouse;1;0
14418;Serif Sezer;0;2
14419;Remy Auberjonois;1;1
14420;Jordyn Cavros;1;0
14421;Barbara Nascimben;1;0
14422;Barbra Rae;0;2
14423;Lisa Loven Kongsli;0;2
14424;Tom Schilling;0;2
14425;Jeffrey Howard;1;0
14426;Coco Jack Gillies;1;0
14427;Hedda Hopper;2;0
14428;Tamiyasu Cho;0;1
14429;Thea Prandi;1;0
14430;Mathieu Demy;0;1
14431;Felipe Botero;0;2
14432;Ray Panthaki;0;3
14433;Patrizia Gori;1;2
14434;Jean-Marie Carayon;1;0
14435;Sean Nelson;1;1
14436;Andrew Cassese;2;0
14437;Keegan Allen;0;3
14438;Pia Miranda;1;0
14439;Alison Brie;6;0
14440;Kamel Abdeli;0;1
14441;Claudia Rocchi;0;3
14442;Paula Malcomson;0;1
14443;Jeon Hye Jin;0;1
14444;Michael McGreevey;1;0
14445;Nikola Risteski;0;2
14446;Francois Yolin Gauvin;1;0
14447;Elisa Muntoni;1;0
14448;O. Guntsadze;1;0
14449;James Gillis;0;2
14450;F.A. Turner;0;1
14451;Julia Duffy;0;1
14452;Ray Thompson;1;0
14453;Damian de Montemas;0;1
14454;Hideko Yoshida;0;3
14455;Julien Riviere;1;0
14456;Monica Lewis;1;0
14457;Hilarie Burton;1;0
14458;Cary-Hiroyuki Tagawa;2;0
14459;George Coulouris;0;1
14460;Ignacy Machowski;0;1
14461;Ernst Wilhelm Borchert;0;1
14462;Ennis Esmer;2;0
14463;Oni Faida Lampley;0;1
14464;Susan Fleetwood;0;1
14465;Sophie Ward;0;4
14466;David Catlin;1;0
14467;Giovanni Ivan Scratuglia;1;2
14468;Jeff Conaway;2;0
14469;Alexis Damianos;0;1
14470;Malgorzata Boratynska;0;2
14471;Júlia Buisel;2;0
14472;Paride Benassai;2;1
14473;Sunah Bilsted;1;0
14474;Geoff Minogue;1;0
14475;Torkel Petersson;1;0
14476;Pia Zadora;0;2
14477;Bertil Norström;0;1
14478;Alfie Simmons;0;3
14479;Sara Tommasi;1;0
14480;Alex Jennings;1;0
14481;Wu Bingbin;0;2
14482;Nando Angelini;1;0
14483;Salvador Haidar;0;1
14484;Anna Maria Sandri;1;1
14485;Hope Davis;3;4
14486;Ivano Davoli;0;1
14487;Garrett M. Brown;1;0
14488;Rory Nolan;1;0
14489;William Tepper;1;1
14490;Marina Kartsivadze;1;0
14491;Tim Russ;1;0
14492;Sultan Al Assaf;0;1
14493;María Esquivel;0;2
14494;Vanessa Feltz;1;0
14495;Vernon Mitchell;0;1
14496;Angela Bettis;0;2
14497;Michael Thys;1;0
14498;Laurence Fevrier;1;1
14499;Edith Evans;2;5
14500;Jean Paul Gaultier;1;0
14501;Jonas Bergen Rahmanzadeh;1;0
14502;Alberto Talegalli;5;0
14503;Vanessa Hessler;1;1
14504;Jan Tesarz;0;1
14505;Balasingham Thamilchelvan;1;0
14506;Phoenix Rodloff;0;1
14507;Ananda Jacobs;1;0
14508;Jean-Pol Dubois;0;1
14509;Sylvia Chang;0;1
14510;Tibor Pálffy;0;2
14511;Annette Poivre;1;1
14512;Alba Laipe Sira;0;1
14513;John Cunningham;1;0
14514;Marina Rocco;7;0
14515;Tao Ye;0;1
14516;Michael Manasseri;1;0
14517;Ilan Srulovicz;0;1
14518;Gary Cerborino;1;0
14519;Bill Cobbs;1;1
14520;Keith Larsen;0;1
14521;Anita Sanders;1;2
14522;Virginie Alexandre;0;1
14523;Nello Mascia;1;6
14524;Stig Hoffmeyer;0;1
14525;Nico Hartung;1;0
14526;Cécilia Ranval;0;1
14527;Raffaele Di Mario;0;1
14528;Riccardo Zinna;2;1
14529;Jennifer Prediger;1;1
14530;Giannis Kokkinos;1;0
14531;Ryan Simpkins;1;1
14532;Giulietta Rebeggiani;1;0
14533;Guillaume Allardi;0;1
14534;Maurice Dean Wint;1;0
14535;Amanda Barker;1;0
14536;Adam Brooks;1;0
14537;Elizabeth Kaitan;1;0
14538;Ki-joo Jin;0;2
14539;Bobby Di Cicco;2;0
14540;Mary Louise Wilson;1;1
14541;Josephine Byrnes;1;0
14542;Nikos Gelia;0;2
14543;Max Madore;0;3
14544;Adam Baldwin;0;2
14545;Renata Berger;1;2
14546;Edward L. Papazian;0;1
14547;Jérôme Care Aulanie;1;0
14548;Suzanne Bertish;0;1
14549;Francis Córdova;1;0
14550;Aramis Knight;0;1
14551;Angela Nugara;0;2
14552;Rickie Lee Jones;0;3
14553;Tino Schirinzi;2;0
14554;Rushita Singh;1;0
14555;Ronald Howard;1;0
14556;Denis Podalydès;2;5
14557;Sarah Wright;3;0
14558;Chico Marx;5;0
14559;Matilde Piana;0;1
14560;Jacob Wein;0;3
14561;Alessandra Mastronardi;7;4
14562;Nicolas Wanczycki;1;0
14563;Robert Warwick;2;0
14564;Jodine Remond;1;0
14565;Abbey Lee;1;0
14566;Howard Ward;0;1
14567;Gordon Clapp;0;1
14568;T. Dan Hopkins;0;1
14569;Cristina Del Basso;1;0
14570;Joanna Cassidy;1;5
14571;Mia Wasikowska;2;5
14572;Joshua John Miller;1;0
14573;Lorenzo Zenoni;1;0
14574;Patrick Dell'Isola;0;1
14575;Kristen Stewart;4;8
14576;Anny Romand;1;0
14577;Danila Rassomakhin;0;2
14578;Caterina Murino;6;1
14579;Vincenzo Di Rosa;0;1
14580;Deborah Harry;3;0
14581;Anja Petoushinova;0;1
14582;Maritza Olivares;1;0
14583;Charles Winninger;3;0
14584;Marcello Pezzutto;1;0
14585;Marina Malfatti;1;1
14586;Mirella Banti;3;0
14587;Milica Miladinovic;0;1
14588;Ali Haji;1;0
14589;Justin Courtin;0;2
14590;Olga Arntgolts;1;0
14591;Carmen Duarte;1;0
14592;G. Pat Collins;0;2
14593;Danuse Ktrestova;1;0
14594;George Dzundza;1;7
14595;Ilona Huhta;0;1
14596;Douglas Reith;1;1
14597;Florelle;1;0
14598;Jason Oliver;1;0
14599;Qi Xi;0;2
14600;Kenta Hamano;0;2
14601;Paula Patton;3;1
14602;Raffaele Tullo;1;0
14603;Uzo Aduba;1;3
14604;Keiji Sata;1;0
14605;Leo G. Carroll;1;2
14606;Gottfried Breitfuss;1;0
14607;Colleen Haskell;1;0
14608;Nuccia Belletti;1;0
14609;Hywel Bennett;1;0
14610;Talisa Soto;0;1
14611;Chelsea Gonzalez;0;1
14612;Rachel Roberts (I);1;0
14613;Justine Lerooy;0;1
14614;Hugues Quester;1;0
14615;Eusebio Poncela;0;1
14616;Milos Timotijevic;0;1
14617;Michel Constantin;1;0
14618;Dustin Hoffman;15;13
14619;Natalia Cretella;1;0
14620;Zdenek Sedlácek;0;1
14621;Jani Volanen;0;1
14622;Nuzhah Yunus;0;3
14623;Lucrezia Paulis;1;0
14624;Jean Seberg;1;2
14625;Tobias Kasimirowicz;1;0
14626;Miles Chandler;1;0
14627;João Gabriel Vasconcellos;0;1
14628;Weronica Rosati;1;0
14629;Billy Connolly;3;3
14630;Michele Mirabella;1;0
14631;Cat Navarro;1;0
14632;Felix Knight;1;0
14633;Kanako Higuchi;1;0
14634;Brock Patrick Kaufman;1;0
14635;Paresh Rawal;1;0
14636;Vanessa Ross;1;0
14637;Michel Puterflam;1;0
14638;Mariana Klaveno;0;2
14639;Tracy Arnold;0;1
14640;Giuseppe Anatrelli;2;0
14641;Albane Masson;0;1
14642;Madeleine Hinde;1;0
14643;Selma Keklikian;0;1
14644;Ronnie Cox;0;1
